編號 分數 志願1 志願2 志願3
1 564 C A B
2 546 D B C
3 574 E A D
4 564 A D B
5 537 B E A
6 589 C E D
7 564 E B A
8 598 D C B
9 587 E D C
10 537 B C E
11 547 B A E
12 535 A E C
13 587 C D B
14 527 C B A
15 538 B A C
16 548 D B A
17 541 C A B
18 571 E D B
19 557 A E C
20 558 E B A
21 527 D C E
22 584 D E B
23 567 E A D
24 587 B E C
25 578 B D A
26 568 C C A
27 562 C E B
28 572 A B C
29 538 E D B
30 594 E B C
31 527 A B C
32 547 E A B
33 541 A B C
34 514 C D B
35 576 E D A
36 523 B A D
37 543 A B A
38 563 E A C
39 542 A D B
40 543 C A D
41 586 B A B
42 583 D E C
43 578 B E D
44 592 E D A
45 531 B E D
46 562 C E A
47 566 A E D
48 511 E D B
49 522 D E A
50 577 A B C
51 544 A C E
52 568 C E D
53 534 D E B
54 568 B D E
55 566 A A C
56 532 B E A
57 576 E B D
58 568 A C E
59 531 B E A
60 518 A E D
61 526 E D C
62 593 A E B
63 548 C E B
64 592 D A E
65 586 D B E
66 527 E D B
67 543 E C D
68 555 D E A
69 529 A E D
70 543 C E B
71 524 B A D
72 564 E D B
73 528 A E C
74 539  B C
75 587 D E A
76 572 C D E
77 551 B E D
78 589 B E B
79 557 E C D
80 563 D B E
81 596 C B A
82 531 A E D
83 571 E D C
84 526 A E B
85 586 A E C
86 524 C D E
87 547 E A D
88 518 B E A
89 579 D E C
90 533 E B D
91 587 A D C
92 567 D E A
93 527 E A B
94 544 C E C
95 591 B D C
96 573 E A B
97 529 B  D
98 573 C E A
99 549 A C E
100 572 D E A
